2460559.66792 17.639 0.018 5.19 618.0
2460562.52785 17.625 0.018 5.64 541.0
2460569.51853 17.671 0.022 6.20 595.0
2460571.61309 17.570 0.021 5.67 708.0
2460576.52373 17.694 0.024 7.59 413.0
2460581.52026 17.611 0.015 5.66 358.0
2460582.59929 17.607 0.019 6.60 366.0
2460587.58417 17.694 0.017 5.29 469.0
2460605.54017 17.605 0.021 6.79 468.0
2460615.50674 17.636 0.025 6.76 718.0
2460721.87448 17.610 0.021 7.00 546.0
2460726.83167 17.600 0.020 6.86 572.0
2460734.89061 17.633 0.015 6.66 305.0
2460737.89309 17.605 0.016 5.95 408.0
2460740.87711 17.636 0.016 6.77 275.0
2460743.82194 17.586 0.015 6.47 359.0
2460745.84361 17.602 0.014 5.83 302.0
2460748.83315 17.617 0.014 5.05 402.0
2460750.83612 17.602 0.016 5.65 502.0
2460752.82975 17.594 0.018 6.32 526.0
2460759.81766 17.566 0.014 5.38 379.0
2460762.80255 17.531 0.013 5.52 336.0
2460764.79330 17.560 0.015 5.06 439.0
2460766.78275 17.535 0.016 5.83 446.0
2460768.79845 17.533 0.014 6.04 318.0
2460770.80045 17.538 0.013 5.33 329.0
2460772.79757 17.491 0.014 6.08 342.0
2460774.80391 17.516 0.015 6.15 368.0
2460777.78440 17.480 0.014 5.21 497.0
2460779.74801 17.521 0.018 5.96 653.0
2460780.92288 17.478 0.019 5.31 913.0
2460786.91972 17.456 0.015 5.78 468.0
2460788.81575 17.448 0.012 5.01 312.0
2460790.70590 17.419 0.012 5.43 349.0
2460791.83321 17.413 0.011 5.01 282.0
2460793.70695 17.387 0.012 5.84 319.0
2460794.84079 17.413 0.011 5.30 282.0
2460797.77114 17.395 0.013 5.88 352.0
2460798.86348 17.377 0.012 5.39 382.0
2460800.68325 17.346 0.014 7.39 318.0
2460801.79082 17.342 0.014 6.60 327.0
2460803.76643 17.358 0.013 5.84 410.0
2460805.84960 17.305 0.012 5.05 500.0
2460807.66702 17.300 0.017 6.19 846.0
2460808.71998 17.314 0.015 5.27 912.0
2460814.81494 17.310 0.012 5.09 483.0
2460815.92834 17.297 0.011 4.54 449.0
2460817.77583 17.259 0.010 5.28 365.0
2460818.87701 17.287 0.011 5.30 359.0
2460820.72556 17.299 0.012 6.15 341.0
